chip_id,location,datetime,cloudpath,fold,iou
adwp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwp,0,0.8585889107115878
adwu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwu,0,0.7372287662740236
adwz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adwz,0,0.9977455139160156
adxp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/adxp,0,1.0
aeaj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeaj,0,1.0
aeap,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeap,0,0.953484017887078
aebi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aebi,0,0.969133251760175
aebu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aebu,0,1.0
aeej,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeej,0,0.9792508323625879
aeey,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeey,0,0.969841347010874
aegb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aegb,0,0.915149295581217
aege,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aege,0,0.9415435791015625
aehu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aehu,0,0.9891090393066406
aeig,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeig,0,0.9953648348576841
aejg,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aejg,0,1.0
aejo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aejo,0,0.8539641747114318
aejp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aejp,0,0.65311756479413
aeky,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeky,0,0.8292203285262589
aelg,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aelg,0,0.3450353081210586
aeli,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeli,0,0.9862031305490108
aemb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aemb,0,1.0
aeme,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeme,0,0.9503103969951484
aepv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aepv,0,1.0
aeqw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeqw,0,0.837518015035251
aesb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aesb,0,1.0
aess,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aess,0,0.9997596740722656
aesz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aesz,0,1.0
aetz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aetz,0,0.772406040038212
aeue,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeue,0,1.0
aevh,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aevh,0,0.9313970191220367
aevl,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aevl,0,1.0
aevs,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aevs,0,0.5541040149257718
aewi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aewi,0,1.0
aewm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aewm,0,1.0
aewr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aewr,0,0.8741566441771781
aexp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aexp,0,1.0
aeyz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeyz,0,0.9965934753417969
aezd,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aezd,0,1.0
aeze,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aeze,0,0.797214032788931
afbe,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afbe,0,1.0
afbo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afbo,0,1.0
afbr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afbr,0,1.0
afct,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afct,0,1.0
afef,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afef,0,0.8790669147948532
afej,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afej,0,0.8493300879328114
afel,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afel,0,0.9998741149902344
afga,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afga,0,1.0
afgi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afgi,0,0.9942443343264378
afgu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afgu,0,0.9902420043945312
afhi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afhi,0,0.9399472258133069
afjm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afjm,0,0.9822196960449219
afjp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afjp,0,0.9404161412358134
afkx,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afkx,0,1.0
afmv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afmv,0,1.0
afna,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afna,0,1.0
afof,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afof,0,0.8448271693003349
afor,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afor,0,0.9462783143375239
afpr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afpr,0,0.8918373614950268
afqf,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afqf,0,0.0
afqi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afqi,0,0.9762001037597656
aftk,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aftk,0,0.2696300422340154
aftu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aftu,0,0.9377078436917916
afuh,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afuh,0,0.7975527213486584
afuu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afuu,0,0.8914235816104975
afva,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afva,0,0.9327731092436975
afvk,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afvk,0,0.8360289587184226
afxz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afxz,0,0.9301308595415652
afyo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afyo,0,0.7021439184886435
afyr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afyr,0,0.25206354763884636
afys,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afys,0,0.14337778682683497
afzv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/afzv,0,1.0
agak,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agak,0,0.14721651367767274
agar,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agar,0,1.0
agca,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agca,0,0.9982991438257771
agcc,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agcc,0,0.7671694013919942
agel,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agel,0,1.0
agex,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agex,0,0.9999923706054688
agfg,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agfg,0,0.99822998046875
agfl,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agfl,0,1.0
aggm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aggm,0,0.9444667040628255
aght,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aght,0,0.960990756953266
agiw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agiw,0,0.8927107503909884
agja,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agja,0,1.0
agjg,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agjg,0,0.7548666186012978
agjn,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agjn,0,1.0
agka,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agka,0,1.0
agkf,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agkf,0,0.9725696220186899
agld,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agld,0,1.0
aglv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aglv,0,0.9154573344470379
agma,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agma,0,0.964243035175716
agmz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agmz,0,0.9513834401693585
agnm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agnm,0,1.0
agno,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agno,0,1.0
agnq,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agnq,0,0.8867679560025966
agnw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agnw,0,1.0
agpb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agpb,0,0.7740706319702603
agpn,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agpn,0,0.8802125305615123
agpw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agpw,0,0.23185685685685686
agqv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agqv,0,0.7844344769062916
agrp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agrp,0,0.7657571040503006
agsm,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agsm,0,0.8393405514268356
agsp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agsp,0,0.8352674534764806
agtf,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agtf,0,0.8104732776536093
agtl,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agtl,0,0.8335821850603643
agtu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agtu,0,1.0
aguh,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aguh,0,0.8606944178016497
agvj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agvj,0,0.8317444237413846
agvq,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agvq,0,0.9911422729492188
agwe,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agwe,0,0.9950103759765625
agxr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agxr,0,0.6609104137860243
agxs,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agxs,0,1.0
agyq,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agyq,0,1.0
agyv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agyv,0,0.8902559984885698
agzd,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/agzd,0,1.0
ahbo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahbo,0,1.0
ahcc,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahcc,0,1.0
ahct,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahct,0,0.906156212958059
ahdh,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahdh,0,0.8372881355932204
ahdj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahdj,0,0.914854719673154
aheo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aheo,0,0.9402479848111385
ahfi,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahfi,0,0.0
ahgf,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahgf,0,1.0
ahhr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahhr,0,0.9443611710832107
ahjy,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahjy,0,0.8818978642854204
ahjz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahjz,0,0.8253105949533143
ahlr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahlr,0,0.9320630182769819
ahlx,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahlx,0,0.7465480568173625
ahly,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahly,0,0.9916720393394092
ahng,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahng,0,0.9244727654177952
ahnj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahnj,0,1.0
ahnu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahnu,0,0.8926840430179103
ahoo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahoo,0,0.994781494140625
ahoq,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahoq,0,1.0
ahoz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahoz,0,0.8212743384498201
ahqo,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahqo,0,0.8643985543338059
ahtj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahtj,0,0.9184844904509144
ahtl,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahtl,0,0.9333782710224127
ahvu,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahvu,0,0.9622281662498813
ahvx,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahvx,0,0.7956986430554828
ahwn,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahwn,0,0.9907391125959791
ahwr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahwr,0,0.9999923706054688
ahxd,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahxd,0,1.0
ahxr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahxr,0,0.9610473226741066
ahyt,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahyt,0,0.988959045089984
ahzc,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ahzc,0,0.9146870821809924
aiap,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiap,0,1.0
aiat,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiat,0,1.0
aiau,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiau,0,1.0
aicw,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aicw,0,0.7917517570613977
aidy,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aidy,0,0.8557853698730469
aiec,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiec,0,0.9886931410148669
aied,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aied,0,0.8834287717658058
aiei,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiei,0,0.7903941515449415
aigv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aigv,0,0.9875686695364582
aiht,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiht,0,1.0
aijh,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aijh,0,0.8359600588684588
aijz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aijz,0,0.8786515605909141
aikb,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aikb,0,0.9006954350927246
aikp,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aikp,0,0.9982070922851562
aikv,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aikv,0,0.8179687795290471
ailj,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/ailj,0,0.9619936566964634
aimq,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aimq,0,0.9779106480385192
aiob,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiob,0,0.8664489515297353
aiod,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiod,0,1.0
aiop,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiop,0,0.9420120804398148
aiov,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiov,0,0.885064584512884
aipa,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aipa,0,0.8718309859154929
aipn,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aipn,0,0.6405661757858748
aipr,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aipr,0,0.7276031959847212
aipz,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aipz,0,0.9989967346191406
aiqe,Chifunfu,2020-04-29T08:20:47Z,az://./train_features/aiqe,0,0.930900304750317
